ts,username,token_index,word,action,strategy,segments,tags,subtypes,codes
2026-03-07T17:04:02+00:00,annotator1,0,taklif,save,primary,taklif,STEM,,0.0.0
2026-03-07T17:04:04+00:00,annotator1,5,va,save,primary,va,STEM,,0.0.0
2026-03-07T17:04:05+00:00,annotator1,10,uchun,save,primary,uchun,STEM,,0.0.0
2026-03-07T17:04:08+00:00,annotator1,15,olishhujjatga,delete,primary,olishhujjat|ga,STEM|CASE,|DAT,0.0.0|3.3.3
2026-03-07T17:04:10+00:00,annotator1,20,qonun,save,primary,qonun,STEM,,0.0.0
2026-03-07T17:04:11+00:00,annotator1,25,yil,save,primary,yil,STEM,,0.0.0
2026-03-07T17:04:13+00:00,annotator1,30,etish,save,primary,etish,STEM,,0.0.0
2026-03-07T17:04:17+00:00,annotator1,35,vazirlar,save,primary,vazir|lar,STEM|PLURAL,|PL,0.0.0|1.1.1
2026-03-07T17:04:21+00:00,annotator1,40,qonunchilik,delete,primary,qonunchilik,STEM,,0.0.0
2026-03-07T17:04:38+00:00,annotator1,45,soʻzlari,save,primary,soʻz|lar|i,STEM|PLURAL|POSSESSIVE,|PL|P3SG,0.0.0|1.1.1|2.2.2
2026-03-07T17:04:41+00:00,annotator1,50,faoliyat,save,primary,faoliyat,STEM,,0.0.0
2026-03-07T17:04:47+00:00,annotator1,55,raqamini,save,primary,raqam|i|ni,STEM|POSSESSIVE|CASE,|P3SG|ACC,0.0.0|2.2.2|3.3.3
2026-03-07T17:04:50+00:00,annotator1,60,o'zbekiston,save,primary,o'zbekiston,STEM,,0.0.0
2026-03-07T17:04:54+00:00,annotator1,65,yoqdi,delete,primary,yoqd|i,STEM|POSSESSIVE,|P3SG,0.0.0|2.2.2
2026-03-07T17:04:57+00:00,annotator1,70,ikkinchi,delete,primary,ikkinch|i,STEM|POSSESSIVE,|P3SG,0.0.0|2.2.2
2026-03-07T17:04:59+00:00,annotator1,75,qabul,save,primary,qabul,STEM,,0.0.0
2026-03-07T17:05:04+00:00,annotator1,80,nazarda,save,primary,nazar|da,STEM|CASE,|LOC,0.0.0|3.3.3
